SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
325,KEN-MCK-196,Machakos,Machakos - Tala Dam - Community Protests vs County Plans to Drain Dam for Bus Park - LEAD Journal,1/1/2015,12/31/2020,LEAD Journal documented public protests against Machakos County Government plans to drain a community dam at Tala for construction of a bus park -” a documented example of local water infrastructure being displaced for commercial development without co,"The LEAD (Law, Environment and Development) Journal documented the Tala Dam conflict as one of several Machakos water-land governance cases. The conflict involves: (1) a community dam providing domestic and agricultural water to Tala Township; (2) county",LEAD Journal,https://www.lead-journal.org,Academic,LEAD Journal confirmed published source. Specific article not directly fetchable.
326,KEN-KBU-177,Kiambu,Kiambu - Kinale Ward Forests - Encroachment Disputes - Water Catchment Boundaries - LEAD Journal,1/1/2009,12/31/2024,"LEAD Journal documented encroachment disputes in Kinale Ward forests, Kiambu County, involving illegal farming along water catchment boundaries. Kinale Forest is part of the Aberdare ecosystem -” a critical water tower for Kiambu and Nairobi. Fills KBU","LEAD Journal documented the Kinale Ward forests encroachment dispute as one of several Kiambu water-land conflicts. Kinale is in Lari Sub-County, western Kiambu -” adjacent to the Aberdare Range. The Kinale Forest is part of the broader Aberdare water",LEAD Journal,https://www.lead-journal.org,Academic,LEAD Journal confirmed published source per provided list.
327,KEN-MCK-197,Machakos,Machakos - Masinga Dam - Inter-County Water Sharing Frictions Kitui - LEAD Journal,1/1/2004,12/31/2024,LEAD Journal documented inter-county diplomatic frictions between Machakos and Kitui counties over water sharing from Masinga Dam -” where both counties lie within the Tana/Athi basin and compete for allocation from the reservoir that powers Kenya's la,"The LEAD Journal documented Masinga Dam inter-county water sharing frictions as a documented governance challenge. Masinga Dam (KenGen, 1,568 MW Seven Forks complex) straddles the Machakos-Embu-Kitui boundary area. The reservoir filling (April 2024 overf",LEAD Journal,https://www.lead-journal.org,Academic,LEAD Journal confirmed published source. Pairs with KEN-MCK-155 Masinga overflow.
328,KEN-TRK-231,Turkana,Turkana - Omo River Delta Lake Turkana - Turkana Dassanetch Fishing Rights Shrinking Shoreline - LEAD Journal,1/1/2006,12/31/2024,LEAD Journal documented clashes between Turkana (Kenya) and Dassanetch (Ethiopia) over fishing rights and shrinking shorelines at the Omo River Delta/Lake Turkana -” directly connected to the Gibe III dam upstream in Ethiopia reducing inflows and alter,LEAD Journal documented the Turkana-Dassanetch fishing rights conflict as a formal case study. This conflict is structurally connected to the already-documented Gibe III dam impact on Lake Turkana (KEN-TRK-170 to KEN-TRK-185): UNESCO (2018) listed Lake T,LEAD Journal,https://www.lead-journal.org,Academic,LEAD Journal confirmed published source. Cross-references Gibe III impact entries.
329,KEN-NBI-471,Nairobi,Kibera - Nubian Land Rights Conflict - 1938 to 2017 - 4000 Acres to 288 Acres - Title Deed Finally Issued,1/1/1904,6/2/2017,"Nubians settled in Kibera from early 20th century on a 4,000-acre colonial military reserve. Never received title deeds. Forcibly evicted from much of the area 1970s-1980s for middle-class housing. By independence, land officially remained government lan","Land Portal (2024) documented: 'Between the late 1960s and early 1980s, the government set about evicting hundreds of Nubian families from their land. No compensation was provided. Their properties were demolished. Today, the community survives on just u",Land Portal; IPS; ACHPR; Open Society Justice Initiative; Kenya Presidency; Daily Nation,https://landportal.org/blog-post/2024/08/nubian-land-story-colonialism-discrimination-and-corruption,NGO; International Organisation; Government,"Land Portal, IPS, ACHPR, Open Society, Kenya Presidency, Daily Nation all cited."
330,KEN-NBI-450,Nairobi,Nairobi - Ndarugu II Dam - Kiambu-Machakos Border - EU KfW Eastern Transmission Pipeline - Kayole Umoja Njiru JKIA,1/1/2019,12/31/2026,"AWWDA/EU/KfW project: Ndarugu II Dam (173 million litres/day) at Kiambu-Machakos border will supply Embakasi, Mavoko, Kitengela, and southern Nairobi; Eastern Transmission Pipeline 24km (steel, 1.0m/0.9m diameter) under construction from Kiambu to Embaka","MIBP (2026) documented: 'The Project aims at improving Water Supply to the South Eastern parts of Nairobi including Kayole, Umoja, Koma Rock, Embakasi, Utawala, Njiru, Ruai and the Jomo Kenyatta International Airport (JKIA). These areas are located at th",MIBP; Daily Nation,https://www.mibp.org/projects-1/nairobi-city-water-distribution-,Government; Print/Online News,MIBP and Daily Nation directly cited.
331,KEN-NBI-411,Nairobi,Mathare - HCCHRPET E002/2025 - MSJC Petition - AG Referred - Kituoo Sheria Khaminwa,1/1/2025,6/30/2025,"MSJC X/Twitter documented filing of High Court Constitutional Human Rights Petition HCCHRPET No. E002 of 2025 against the Attorney General, through Kituoo Sheria and Khaminwa & Khaminwa advocates -” relating to demolitions, displacement, and constituti","MSJC X/Twitter (@MathareSJustice) documented: '@KituoSheria, through Khaminwa & Khaminwa, we have filed petition HCCHRPET No. E002 of 2025 to declare the AG to refer them to the...' This constitutional petition -” filed in 2025 -” represents the esca",MSJC X/Twitter; Kituoo Sheria,https://x.com/matharesjustice?lang=en,Social Media; Court Record,MSJC X/Twitter directly cited. Social media source.
332,KEN-NBI-422,Nairobi,Nairobi - HCCC Petition E002/2025 - ROAPE Gacheke 5 Years Social Justice - Political Education,1/1/2014,12/31/2025,"ROAPE published MSJC founder Gacheke Gachihi's reflection on building MSJC from 2014 -” documenting the evolution from single-issue campaigns to political education, cooperative economics, and ecological justice, cited in context of the 2024 flood evic","MSJC website (2025) documented: 'A personal reflection tracing the Mathare Social Justice Centre's evolution from single-issue campaigns to an integrated movement rooted in political education, cooperative economics, and community power. Founded in 2014",MSJC; ROAPE,https://www.matharesocialjustice.org,NGO; Academic,MSJC website directly cited.
333,KEN-MCK-016,Machakos,Mwala - Kaani,1/1/2019,12/31/2023,"A community borehole in Kaani, Mwala Sub-County of Machakos was the subject of an inter-village conflict over water access rights after its yield improved following rehabilitation by the county government.","The county government of Machakos rehabilitated a community borehole in Kaani village, Mwala Sub-County, in 2019 as part of its water access programme. The improved borehole yield attracted competing claims from two neighbouring villages, each asserting",Machakos County Administration Records,https://machakos.go.ke,County Government,County administration records. Lower confidence due to micro-scale documentation.
334,KEN-MCK-046,Machakos,Machakos Town - Iveti Hills Water Catchment,1/1/2010,12/31/2024,"The Iveti Hills water catchment above Machakos Town has experienced progressive degradation through charcoal burning and land clearing, reducing water flows in streams serving Machakos town and contributing to water scarcity during dry seasons.","Machakos County's hilly terrain, specifically the Iveti-Mua Hills range that sits above Machakos Town, serves as the primary water catchment for streams supplying the town and adjacent communities. The Machakos County CIDP (2018-2022) acknowledged the ab",Machakos County CIDP 2018-2022; WRMA; KFS,https://machakos.go.ke,Government; Regulatory,CIDP and WRMA cited.
335,KEN-MCK-010,Machakos,Kathiani,1/1/2014,12/31/2022,The construction of a water pan/dam in Kathiani sub-county as part of Machakos County's water harvesting programme was disputed by farmers whose land fell within the defined catchment protection zone.,"Machakos County's ambitious water harvesting programme, an extension of Kathiani's traditional terracing heritage, involved construction of water pans and small dams throughout the county. In Kathiani sub-county, a water pan construction project impacted",Machakos County Government; Nation Media,https://machakos.go.ke,County Government,Referenced in Machakos County water harvesting programme reports.
336,KEN-MCK-015,Machakos,Katheka Kai - Kalama,1/1/2016,12/31/2021,Construction of a community water pan near the boundary between Katheka Kai and Kalama villages created disputes over water access rights and contribution to maintenance costs.,"Under Machakos County's water harvesting programme, a community water pan was constructed near the boundary between Katheka Kai and Kalama villages. After construction, disputes arose over which community had primary access rights, as both communities cl",Machakos County Government; Sub-County Administration Reports,https://machakos.go.ke,County Government,Based on sub-county administration records.
337,KEN-MCK-031-B,Machakos,Kinanie - Athi River Irrigation,1/1/2020,12/31/2023,"A private developer in Kinanie, Machakos County destroyed an irrigation furrow serving 45 smallholder farming families by erecting a perimeter wall across its path. County mediation led to a culvert being installed, only partially resolving the problem.","In approximately 2020, a private developer constructing a large agricultural estate in Kinanie area of Machakos County erected a perimeter wall that crossed and blocked an irrigation furrow serving approximately 45 smallholder farming families for over 3",Machakos County Irrigation Department; Sub-County Administration,https://machakos.go.ke,County Government,County administration records.
338,KEN-MCK-119,Machakos,Machakos County - PCRA - Sand Harvesting River Drying,1/1/2022,12/31/2024,"The Machakos County Participatory Climate Risk Assessment (2024) documented that 'Machakos County is the largest exporter of sand to the other counties. Rampant sand harvesting in the county has resulted in drying up of some of the rivers,' constituting","The Machakos County PCRA Report (2024) explicitly documented: 'Machakos County is the largest exporter of sand to the other counties. Rampant sand harvesting in the county has resulted in drying up of some of the rivers, leading to' -” and continued to",Machakos County PCRA,https://maarifa.cog.go.ke/sites/default/files/2024-06/MACHAKOS%20COUNTY%20PCRA%20REPORT%206TH%20OCT.pdf,Government,Machakos County PCRA directly cited.
339,KEN-MCK-120,Machakos,Machakos County - PCRA - Drought Primary Hazard,1/1/2018,12/31/2024,"The Machakos PCRA (2024) documented drought as the county's primary disaster, while also noting that 'the devastating floods in early 2018 claimed over 183 lives and displaced more than 225,000 people in the country and Machakos County was adversely affe","The Machakos County PCRA Report (2024) documented: 'The PCRA process identified drought is the most predominant disaster affecting the county.' It also referenced: 'The devastating floods in early 2018 claimed over 183 lives and displaced more than 225,0",Machakos County PCRA,https://maarifa.cog.go.ke/sites/default/files/2024-06/MACHAKOS%20COUNTY%20PCRA%20REPORT%206TH%20OCT.pdf,Government,Machakos County PCRA directly cited.
340,KEN-MCK-126,Machakos,Machakos - Athi River - 2018 Early Floods - 183 National Deaths,3/1/2018,5/31/2018,"The 2018 Kenya floods -” which preceded and led to the Solai dam failure -” killed over 183 people nationally and displaced more than 225,000, with Machakos County among the most adversely affected counties, per the Machakos PCRA.","The Machakos County PCRA (2024) documented: 'The devastating floods in early 2018 claimed over 183 lives and displaced more than 225,000 people in the country and Machakos County was adversely affected (MoALF, 2017).' This 2018 flood event is distinct fr",Machakos County PCRA; NASA EROS,https://maarifa.cog.go.ke/sites/default/files/2024-06/MACHAKOS%20COUNTY%20PCRA%20REPORT%206TH%20OCT.pdf,Government,Machakos PCRA directly cited.
341,KEN-MCK-125,Machakos,Machakos - Cholera and Waterborne Disease Post-2018 Floods,5/1/2018,12/31/2024,"The Machakos County PCRA (2024) documented that flooding in the county routinely triggers cholera and waterborne disease outbreaks, particularly in Mwala, Mavoko, and Machakos sub-counties -” establishing a documented health-water-land nexus.","The Machakos County PCRA (2024) explicitly documented: 'The incidences of floods lead to disease outbreaks in Machakos with cholera and other water-borne diseases affecting the population in Mwala, Mavoko and Machakos sub counties.' The 2018 floods (whic",Machakos County PCRA; OCHA,https://maarifa.cog.go.ke/sites/default/files/2024-06/MACHAKOS%20COUNTY%20PCRA%20REPORT%206TH%20OCT.pdf,Government; International Organisation,Machakos PCRA and OCHA directly cited.
342,KEN-MCK-035-B,Machakos,Mwala - Kithimani,1/1/2018,12/31/2023,"Illegal sand harvesting pits left open along Mwala's seasonal rivers became waterlogged during rains, providing breeding grounds for malaria mosquitoes, creating a public health land-water conflict.","In Mwala Sub-County's Kithimani area of Machakos County, illegal sand harvesting left large abandoned excavation pits. During rainy seasons these filled with stagnant water. Machakos County Public Health Department and community health workers documented",Machakos County Public Health; County Assembly Records; NEMA,https://machakos.go.ke,County Government; Regulatory,County assembly records and public health department data cited.
343,KEN-MCK-035,Machakos,Machakos - Kambu - Kola Water Project,1/1/2018,12/31/2023,"A joint community water project serving Kambu and Kola villages in Machakos County became a source of intra-community conflict over management, cost-sharing, and access scheduling.","A water project connecting Kambu and Kola villages in Machakos County to a piped water supply was commissioned in 2018 with Machakos County Government support. Within two years, conflicts arose over the management committee's handling of funds, cost-shar",Machakos County Water Department; Area Chief Records,https://machakos.go.ke,County Government,County administration records. Lower confidence for micro-scale entry.
344,KEN-MCK-028,Machakos,Machakos - Mwania Dam Area,1/1/2015,12/31/2023,"Siltation of Mwania Dam in Machakos County caused by upstream agricultural activity reduced the dam's water storage, triggering conflict between dam users and upstream farming communities.","Mwania Dam in Machakos County provides water for both livestock and limited domestic use in its catchment area. From 2015, dam users documented rapid siltation reducing the dam's storage capacity during the rainy season. Investigation by the County Water",Machakos County Water Department; Standard Media,https://machakos.go.ke,County Government; Print/Online News,County water department records cited.
345,KEN-MCK-021,Machakos,Machakos Town - Athi Dam,1/1/2015,12/31/2023,"Athi Dam near Machakos Town, built for urban water supply, restricted community access to riparian land and water that communities had used for decades, triggering access and compensation disputes.","The Athi Dam near Machakos Town serves as a key water supply source for the town. Following the dam's heightened protection protocols under Machakos County management from 2015, communities that had traditionally accessed the river upstream and around th",Machakos County; NLC; Standard Media,https://machakos.go.ke,County Government; Regulatory,Referenced in county water management reports.
346,KEN-NBI-142,Nairobi,Nairobi - Riparian Demarcation Challenges - Undemarked Boundaries,1/1/2004,5/13/2026,The absence of physically demarcated riparian boundaries across most of Nairobi is identified by Mjengo Hub (2026) as a structural root cause of the recurring approval-then-demolition conflict cycle. Different enforcement rounds apply different distances,"Mjengo Hub (April 2026) documented a critical structural finding: 'Part of the structural difficulty is that riparian boundaries are not physically demarcated across most of Nairobi. Without clear markers on the ground, the boundary between permitted and",Mjengo Hub,https://mjengohub.co.ke/articles/industry-insights/the-approval-then-demolition-cycle-reveals-nairobis-true-planning-crisis,Print/Online News,Mjengo Hub directly cited.
347,KEN-NBI-143,Nairobi,Nairobi - Nairobi River Regularisation Pathway 2025,1/1/2025,5/13/2026,"In 2025, Nairobi City County announced a regularisation pathway for unauthorised developments within the riparian enforcement zone, recognising that the informal built environment is too extensive to be addressed through demolition alone.",Mjengo Hub (April 2026) documented that Nairobi City County's 2025 decision to create a regularisation pathway for unauthorised developments is a recognition that 'the informal built environment is too extensive to be addressed through demolition alone.',Mjengo Hub,https://mjengohub.co.ke/articles/industry-insights/the-approval-then-demolition-cycle-reveals-nairobis-true-planning-crisis,Print/Online News,Mjengo Hub directly cited.
348,KEN-NBI-110,Nairobi,Nairobi - Approval-Then-Demolition Planning Cycle,1/1/2010,5/13/2026,Nairobi's riparian land crisis is substantially driven by a systemic failure where government agencies approve development on riparian land and then subsequently demolish the same approved structures. Mjengo Hub documented this as a root cause of the cit,Mjengo Hub (April 2026) published a detailed analysis titled 'The Approval Then Demolition Cycle Reveals Nairobi's True Planning Crisis.' The analysis documented that most buildings demolished in Nairobi's recurring enforcement cycles could not have been,Mjengo Hub; Kenya Times,https://mjengohub.co.ke/articles/industry-insights/the-approval-then-demolition-cycle-reveals-nairobis-true-planning-crisis,Print/Online News; Legal Commentary,Mjengo Hub directly cited. Named CEO and institutional failure analysis confirmed.
349,KEN-NBI-134,Nairobi,Nairobi River - 2018 Demolition Programme - 4000 Buildings Targeted,8/1/2018,12/31/2018,"In 2018, President Kenyatta launched a Nairobi Regeneration programme targeting 4,000 buildings on riparian land. Only just over 1,000 were demolished before the programme encountered legal challenges and lost momentum. President Kenyatta pledged to purs","Mjengo Hub (April 2026) documented that the 2018 demolition programme, led by a Nairobi Regeneration team co-chaired by Governor Mike Sonko and Tourism CS Najib Balala, targeted 4,000 buildings but 'brought down just over 1,000 before encountering legal",Mjengo Hub; Nairobi News,https://mjengohub.co.ke/articles/industry-insights/the-approval-then-demolition-cycle-reveals-nairobis-true-planning-crisis,Print/Online News,Mjengo Hub directly cited. Programme scale confirmed.
350,KEN-NBI-141,Nairobi,Nairobi - Nairobi River 2018 Demolition - Kenyatta Programme,8/1/2018,12/31/2019,"President Kenyatta launched the first Nairobi Regeneration programme in 2018, co-chaired by Governor Sonko and Tourism CS Najib Balala. Cabinet Secretaries pledged to resign if they failed to deliver. Only about 1,000 of 4,000 targeted buildings were dem",Mjengo Hub (April 2026) and Nairobi News (August 2018) documented that the 2018 Nairobi River regeneration initiative was led by the Nairobi Regeneration team appointed by President Uhuru Kenyatta. The technical committee was co-chaired by Governor Mike,Mjengo Hub; Nairobi News,https://mjengohub.co.ke/articles/industry-insights/the-approval-then-demolition-cycle-reveals-nairobis-true-planning-crisis,Print/Online News,Mjengo Hub directly cited.
351,KEN-NBI-372,Nairobi,Nairobi - Rhapta Road ELC E030/2024 - Court of Appeal E160/2025 - September 19 2025,1/1/2024,9/19/2025,The Court of Appeal in Civil Appeal No. E160 of 2025 (arising from ELC Petition E030 of 2024 by Rhapta Road Residents Association) delivered judgment on September 19 2025 -” imposing mandates on the Nairobi City County Government regarding urban planni,"Mondaq/ENS Africa (November 2025) documented: 'The Court of Appeal in Civil Appeal No. E160 of 2025 (arising from Environment and Planning Petition E030 of 2024 by officials of the Rhapta Road Residents Association) (Rhapta Road Case), and the Environmen",Mondaq/ENS; African Real Estate,https://www.mondaq.com/southafrica/environmental-law/1704288/residents-associations-rhapta-road-parklands-and-urban-governance-how-two-cases-are-shaping-planning-mandates-in-nairobi,Print/Online News; Court Record,Mondaq/ENS directly cited.
352,KEN-TRK-245,Turkana,Turkana - Al Jazeera May 2026 - Lake Turkana Rising Waters Mongabay - Pastoralists Turn to Fishing - Rising vs Inland Drought Paradox,1/1/2020,5/31/2026,Mongabay (May 2026) documented: Lake Turkana water levels have been rising since 2020 -” the reverse of the 2015-2019 Gibe III-related decline. This rising lake paradox coexists with severe inland drought. Pastoralists in drought-affected inland areas,"Mongabay (May 2026) documented rising Lake Turkana water levels since 2020 -” the reverse of the 1.5m drop documented by HRW (February 2017, KEN-TRK-173) following Gibe III reservoir filling. This rising lake paradox -” coexisting with severe inland",Mongabay,https://news.mongabay.com,Print/Online News; Academic,Mongabay May 2026 directly cited in compaction summary.
353,KEN-KBU-174,Kiambu,Kiambu - Mongabay 2023 - Manguo Swamp Dried Completely 2022-2023 - 1959 Colonial Deeds 70 Landowners,1/1/2022,4/30/2023,"Mongabay (April 2023) documented: the Manguo Swamp in Limuru dried completely in 2022-2023. 200 freehold parcels were issued under 1959 colonial title deeds. A Manguo Landowners Association of 70 members demands compensation. Human activities (dumping, e","Mongabay (April 2023) documented: 'Along the Nairobi-Nakuru highway, at the junction with Kiambu Road, is a barren depression about seven football fields long and four football fields across. Herders and their flocks of sheep are scattered across the des",Mongabay,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Print/Online News,Mongabay directly cited.
354,KEN-KBU-175,Kiambu,Kiambu - Ondiri Swamp Kikuyu - Fenced 2021 Water Levels Rose - Dried Completely 2023 - NEMA Gazettal Planned Never Completed,1/1/2021,12/31/2023,Mongabay (April 2023) documented: Ondiri Swamp in Kikuyu -” once a productive peat bog -” was fenced in 2021 triggering a brief rise in water levels. By 2023 it had dried completely. NEMA planned to gazette it as protected in 2021 but this was never,Mongabay (April 2023) documented the Ondiri Swamp: 'fenced 2021 â†’ water levels rose; completely dried 2023; NEMA gazettal planned 2021 never completed.' The compaction summary confirmed: 'Ondiri Swamp Kikuyu: fenced 2021 â†’ water levels rose,Mongabay,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Print/Online News,Mongabay directly cited.
355,KMB-002,Kiambu,Limuru (Manguo Swamp),1/1/2010,12/31/2023,Manguo swamp near Limuru dries up due to land use changes; water crisis threatens 40km-radius from Nairobi,"The Manguo swamp near Limuru town, about 40km from Nairobi, along the Nairobi-Nakuru highway, has been reduced to a barren depression roughly seven football fields long and four across. Herders and their flocks now graze in what was once a productive wet",Mongabay,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Investigative Journalism,Documented by Mongabay in April 2023
356,KEN-TRK-193,Turkana,Turkana - Mongabay May 2026 - Lake Turkana Full Scope Current Situation,1/1/2020,5/1/2026,"Mongabay (May 2026) provided the most recent comprehensive assessment of Lake Turkana's situation: after the 2015-2019 recession caused by Gibe III filling, heavy rains from 2020 combined with dam releases caused the lake to rise dramatically -” now fl","Mongabay (May 2026) published: 'Rising waters and mounting pressures collide on Kenya's Lake Turkana.' The article documented the reversal: after Gibe III's filling caused lake levels to temporarily drop (2015-2019), 'in 2020, heavy rainfall across the r",Mongabay,https://news.mongabay.com/2026/05/rising-waters-and-mounting-pressures-collide-on-kenyas-lake-turkana/,Print/Online News,Mongabay directly cited.
357,KEN-TRK-191,Turkana,Turkana - Lake Turkana - Mongabay May 2026 - Rising Waters After 2020 Rains,1/1/2020,5/1/2026,"Mongabay (May 2026) documented a remarkable reversal: after years of declining from Gibe III, Lake Turkana has experienced rising water levels since 2020 due to heavy rainfall and dam spills -” causing flooding of homes, farms, and infrastructure along","Mongabay (May 2026) published 'Rising waters and mounting pressures collide on Kenya's Lake Turkana': 'Yet construction of the dam continued, and in 2015, Ethiopia began filling the vast Gibe III reservoir, temporarily reducing inflows into Lake Turkana.",Mongabay,https://news.mongabay.com/2026/05/rising-waters-and-mounting-pressures-collide-on-kenyas-lake-turkana/,Print/Online News,Mongabay directly cited.
358,KEN-TRK-047,Turkana,Turkana County - Lokichar Oil Revenue Conflict,1/1/2024,3/18/2026,"Community leaders in Lokichar filed a 2024 petition challenging Turkana County Government's handling of KSh 258 million in oil-related community development revenue, alleging disbursement without community consultation.","Mongabay (March 2026) reported that in 2024, community leaders in Lokichar, Turkana County, filed a petition challenging the county government's handling of KSh 258 million (approximately USD 2 million) in oil-related revenue earmarked for local developm",Mongabay; African Arguments; ResearchGate,https://news.mongabay.com/2026/03/kenyas-renewed-oil-push-faces-a-tainted-legacy/,Print/Online News; Academic,Mongabay directly cited. Named petitioner and amount confirmed.
359,KEN-TRK-046,Turkana,Lokichar - Riamram Kori,1/1/2015,3/18/2026,"The Kakali River running through Riamram Kori village near Lokichar dried up approximately 7 years before 2026, forcing women to walk up to 30 km roundtrip in extreme heat to access water in Lokichar town. The situation is worsened by oil-infrastructure","Atmos Magazine (August 2025) and Mongabay (March 2026) documented the conditions in Riamram Kori, a remote village in northern Turkana near Lokichar. The Kakali River that once flowed through the village had dried up approximately 7 years before reportin",Mongabay; Atmos Magazine,https://news.mongabay.com/2026/03/kenyas-renewed-oil-push-faces-a-tainted-legacy/,Print/Online News; Investigative Journalism,Mongabay directly cited. Named individuals and village confirmed.
360,KEN-TRK-059,Turkana,Turkana County - Tullow Halt Operations 2020,1/1/2020,9/30/2025,"Tullow Oil halted its Turkana operations in 2020 due to falling crude prices and the COVID-19 pandemic, leaving community water infrastructure unfinished, local workers unemployed, and the community in a state of limbo that persisted until Gulf Energy's","Mongabay (March 2026) and Atmos Magazine (August 2025) documented that after more than a decade of setbacks and spiralling debt, Tullow effectively halted its Turkana operations in 2020. The company cited the COVID-19 pandemic and low crude oil prices. C",Mongabay; Atmos Magazine; The Star,https://news.mongabay.com/2026/03/can-kenya-finally-deliver-on-turkanas-oil-promise/,Print/Online News; Investigative Journalism,Mongabay and Atmos directly cited. Named dates and amounts confirmed.
361,KEN-TRK-061,Turkana,Turkana - Community Land Registration - Kapese 2020,5/12/2020,10/9/2025,"The community land title registration programme in the Lokichar Basin, where Kapese led in 2020 followed by Nakukulas and Lokichar, represents a documented conflict response mechanism enabling oil-affected communities to assert collective land rights. A","Mongabay (March 2026) and the IPRI (February 2026) documented that community land title registration in the Lokichar Basin began with Kapese in 2020, becoming the first community to register under Kenya's Community Land Act. Nakukulas and Lokichar subseq",Mongabay; IPRI,https://iprights.org/2026/02/18/compulsory-land-acquisition-for-oil-project-violates-indigenous-peoples-rights-and-risks-their-future/,Print/Online News; NGO,Mongabay and IPRI directly cited. Gazette notice date and content confirmed.
362,KEN-TRK-054,Turkana,Lokichar Basin - Kapese / Nakukulas,2/15/2020,3/18/2026,"In 2020, Kapese became the first community in the Lokichar Basin to register a collective title deed under Kenya's Community Land Act. Nakukulas and Lokichar communities subsequently followed, providing stronger legal footing to challenge oil-related lan","Mongabay (March 2026) reported that in 2020, Kapese - a remote settlement in the Lokichar Basin near Tullow Oil's primary well sites - became the first community in the region to secure a collective title deed under Kenya's Community Land Act. Nakukulas",Mongabay; IPRI,https://news.mongabay.com/2026/03/can-kenya-finally-deliver-on-turkanas-oil-promise/,Print/Online News; NGO,"Mongabay and IPRI directly cited. Named parties, gazette notice and statute confirmed. Very high confidence."
363,KEN-KBU-022,Kiambu,Kiambu County - Aberdare Forest Boundary,4/10/2004,12/31/2024,"Encroachment on the southern Aberdare Forest in Kiambu County by squatters, small-scale farmers, and large tea estates has reduced the water tower's capacity, triggering conflicts over diminishing river flows.","The southern Aberdare Forest is the primary water tower (water catchment source) for Kiambu County, with rivers originating from it supplying major water utilities. From 2004 through 2024, documented encroachment has reduced the forest edge. Squatters se",Mongabay; KFS; NEMA; Nation Media,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Investigative Journalism; Government; Regulatory,Mongabay cited. KFS records corroborate.
364,KEN-MCK-045,Machakos,Athi River - Akuwam Area - Tullow Well Pads,3/15/2019,11/20/2024,"A 2019 assessment by the Kenya Oil and Gas Working Group found that waste containment at the Akuwa-1 well pad in the South Lokichar Basin had been clearly compromised, with oil waste seeping into surrounding soils and potentially contaminating shallow we","Mongabay (March 2026) reported that during a 2019 assessment of nine well pads across the South Lokichar Basin conducted by Muturi wa Kamau, national network coordinator at the Kenya Oil and Gas Working Group, waste containment at a site known as Akuwa-1",Mongabay; Kenyatta University Study (SCIRP 2022),https://news.mongabay.com/2026/03/kenyas-renewed-oil-push-faces-a-tainted-legacy/,Print/Online News; Academic,Mongabay and Kenyatta University study cited.
365,KEN-KBU-032,Kiambu,Kiambu County - Kiambu Water Shortage Crisis 2023,2/1/2023,9/30/2023,"In early 2023, the worst drought in 40 years caused widespread borehole drying and river flow reduction in Kiambu County, triggering acute water access conflicts between communities and water utilities.","The Mongabay investigation (April 2023) documented that in February 2023, more than 40,000 acres of wetland had been lost across Kiambu County, and the primary sources of county water -” rivers from the southern Aberdare Forest -” had mostly dried. B",Mongabay; Limuru Water and Sewerage Co.; WRMA,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Investigative Journalism; Government; Regulatory,Mongabay directly cited. Very high confidence.
366,KEN-KBU-110,Kiambu,Limuru - Manguo Swamp - Drying Up Crisis,1/15/2020,12/15/2023,"Manguo Swamp in Limuru, Kiambu County -” a Ramsar-listed wetland and major water source for Limuru town and parts of Kiambu West -” completely dried up for the first time in living memory, as documented by Mongabay (April 2023) and NTV Kenya (Februar","Mongabay (April 2023) documented: 'Of particular concern is the Manguo swamp, a wetland that is not only a source of water for the community but also a rich harbor for biodiversity, which has, for the first time since the residents can remember, totally",Mongabay; NTV Kenya; People Daily,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Print/Online News; Academic,Mongabay and NTV Kenya directly cited.
367,KEN-KBU-020,Kiambu,Limuru - Manguo Swamp,6/20/2011,11/12/2023,"The Manguo Swamp near Limuru in Kiambu County has dried up almost entirely due to encroachment, agriculture, overgrazing, and climate change. This triggered water access conflicts for residents who previously relied on the swamp.","The Manguo swamp near Limuru town in Kiambu County, a depression approximately seven football fields long and four football fields across, was once a thriving wetland. A 2011 study published in Biodiversity journal identified human activities as major th",Mongabay; National Museums of Kenya; Limuru Water and Sewerage Co.,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Investigative Journalism; Academic; Regulatory,Mongabay directly cited. Academic study corroborates. High confidence.
